Nume_actiune, Timestamp
changeSection,27-04-2021 21:07:15
displayBookAge,27-04-2021 21:07:15
calculateDaysAvailable,27-04-2021 21:07:15
getBooksByAuthor,27-04-2021 21:07:15
addBook,27-04-2021 21:07:15
sortBooks,27-04-2021 21:07:15
printReader,27-04-2021 21:07:15
removeBook,27-04-2021 21:07:15
printReader,27-04-2021 21:07:15
removeAllBooks,27-04-2021 21:07:15
printReader,27-04-2021 21:07:15
getReadersByAge,27-04-2021 21:07:15
sortReadersAlphabetically,27-04-2021 21:07:15
changeSection,27-04-2021 21:17:42
displayBookAge,27-04-2021 21:17:42
calculateDaysAvailable,27-04-2021 21:17:42
getBooksByAuthor,27-04-2021 21:17:42
addBook,27-04-2021 21:17:42
sortBooks,27-04-2021 21:17:42
printReader,27-04-2021 21:17:42
removeBook,27-04-2021 21:17:42
changeSection,27-04-2021 21:30:51
displayBookAge,27-04-2021 21:30:51
calculateDaysAvailable,27-04-2021 21:30:51
getBooksByAuthor,27-04-2021 21:30:51
addBook,27-04-2021 21:30:51
sortBooks,27-04-2021 21:30:51
printReader,27-04-2021 21:30:51
removeBook,27-04-2021 21:30:51
printReader,27-04-2021 21:30:51
removeAllBooks,27-04-2021 21:30:51
printReader,27-04-2021 21:30:51
getReadersByAge,27-04-2021 21:30:51
sortReadersAlphabetically,27-04-2021 21:30:51
